hidden_size,loss,L_test,bit_accuracy
8,bce,1,1.0
8,bce,2,1.0
8,bce,3,1.0
8,bce,4,1.0
8,bce,5,0.9998
8,bce,6,1.0
8,bce,7,0.9994285714285714
8,bce,8,0.9995
8,bce,9,0.9997777777777778
8,bce,10,0.9999
8,bce,11,0.9997272727272727
8,bce,12,0.9995833333333334
8,bce,13,0.9998461538461538
8,bce,14,0.9997857142857143
8,bce,15,0.9999333333333333
8,bce,16,0.9996875
8,bce,17,0.9995882352941177
8,bce,18,0.9995555555555555
8,bce,19,0.9996842105263158
8,bce,20,0.9998
8,bce,1,1.0
8,bce,2,1.0
8,bce,3,0.9876666666666667
8,bce,4,0.9815
8,bce,5,0.973
8,bce,6,0.9663333333333334
8,bce,7,0.9604285714285714
8,bce,8,0.954375
8,bce,9,0.9516666666666667
8,bce,10,0.952
8,bce,11,0.9497272727272728
8,bce,12,0.9438333333333333
8,bce,13,0.9476153846153846
8,bce,14,0.9446428571428571
8,bce,15,0.9455333333333333
8,bce,16,0.9435
8,bce,17,0.9404117647058824
8,bce,18,0.9400555555555555
8,bce,19,0.9385789473684211
8,bce,20,0.93835
8,bce,1,1.0
8,bce,2,1.0
8,bce,3,0.9956666666666667
8,bce,4,0.98775
8,bce,5,0.9804
8,bce,6,0.9775
8,bce,7,0.9797142857142858
8,bce,8,0.9785
8,bce,9,0.9764444444444444
8,bce,10,0.976
8,bce,11,0.9735454545454545
8,bce,12,0.97475
8,bce,13,0.9726153846153847
8,bce,14,0.9716428571428571
8,bce,15,0.9734
8,bce,16,0.9726875
8,bce,17,0.9724117647058823
8,bce,18,0.9698888888888889
8,bce,19,0.9707368421052631
8,bce,20,0.97005
16,bce,1,1.0
16,bce,2,1.0
16,bce,3,1.0
16,bce,4,1.0
16,bce,5,1.0
16,bce,6,0.9988333333333334
16,bce,7,0.9967142857142857
16,bce,8,0.996125
16,bce,9,0.9931111111111111
16,bce,10,0.9874
16,bce,11,0.9867272727272727
16,bce,12,0.9806666666666667
16,bce,13,0.9790769230769231
16,bce,14,0.9808571428571429
16,bce,15,0.9768666666666667
16,bce,16,0.9730625
16,bce,17,0.9724117647058823
16,bce,18,0.9713888888888889
16,bce,19,0.9684736842105263
16,bce,20,0.96855
16,bce,1,1.0
16,bce,2,1.0
16,bce,3,1.0
16,bce,4,1.0
16,bce,5,1.0
16,bce,6,1.0
16,bce,7,1.0
16,bce,8,0.999875
16,bce,9,0.9996666666666667
16,bce,10,0.9997
16,bce,11,0.9991818181818182
16,bce,12,0.9989166666666667
16,bce,13,0.9986153846153846
16,bce,14,0.9985714285714286
16,bce,15,0.9988666666666667
16,bce,16,0.9988125
16,bce,17,0.9983529411764706
16,bce,18,0.9983333333333333
16,bce,19,0.9981052631578947
16,bce,20,0.9983
16,bce,1,1.0
16,bce,2,1.0
16,bce,3,1.0
16,bce,4,1.0
16,bce,5,1.0
16,bce,6,1.0
16,bce,7,1.0
16,bce,8,1.0
16,bce,9,1.0
16,bce,10,1.0
16,bce,11,1.0
16,bce,12,1.0
16,bce,13,1.0
16,bce,14,1.0
16,bce,15,1.0
16,bce,16,1.0
16,bce,17,1.0
16,bce,18,1.0
16,bce,19,1.0
16,bce,20,1.0
32,bce,1,1.0
32,bce,2,1.0
32,bce,3,1.0
32,bce,4,1.0
32,bce,5,1.0
32,bce,6,0.999
32,bce,7,0.9942857142857143
32,bce,8,0.9865
32,bce,9,0.9803333333333333
32,bce,10,0.973
32,bce,11,0.9716363636363636
32,bce,12,0.9654166666666667
32,bce,13,0.9614615384615385
32,bce,14,0.9583571428571429
32,bce,15,0.9552666666666667
32,bce,16,0.949375
32,bce,17,0.952764705882353
32,bce,18,0.9493888888888888
32,bce,19,0.9450526315789474
32,bce,20,0.94775
32,bce,1,1.0
32,bce,2,1.0
32,bce,3,1.0
32,bce,4,1.0
32,bce,5,1.0
32,bce,6,1.0
32,bce,7,1.0
32,bce,8,1.0
32,bce,9,1.0
32,bce,10,1.0
32,bce,11,1.0
32,bce,12,1.0
32,bce,13,1.0
32,bce,14,1.0
32,bce,15,0.9999333333333333
32,bce,16,0.999875
32,bce,17,1.0
32,bce,18,0.9999444444444444
32,bce,19,0.9998421052631579
32,bce,20,0.9999
32,bce,1,1.0
32,bce,2,1.0
32,bce,3,1.0
32,bce,4,1.0
32,bce,5,1.0
32,bce,6,1.0
32,bce,7,1.0
32,bce,8,1.0
32,bce,9,1.0
32,bce,10,1.0
32,bce,11,1.0
32,bce,12,1.0
32,bce,13,1.0
32,bce,14,1.0
32,bce,15,1.0
32,bce,16,1.0
32,bce,17,1.0
32,bce,18,1.0
32,bce,19,1.0
32,bce,20,1.0
8,mse,1,0.502
8,mse,2,0.513
8,mse,3,0.506
8,mse,4,0.529
8,mse,5,0.5394
8,mse,6,0.532
8,mse,7,0.531
8,mse,8,0.535125
8,mse,9,0.5283333333333333
8,mse,10,0.5283
8,mse,11,0.5343636363636364
8,mse,12,0.5344166666666667
8,mse,13,0.5344615384615384
8,mse,14,0.5305714285714286
8,mse,15,0.5357333333333333
8,mse,16,0.534875
8,mse,17,0.5308823529411765
8,mse,18,0.5376666666666666
8,mse,19,0.5352631578947369
8,mse,20,0.5327
8,mse,1,0.74
8,mse,2,0.663
8,mse,3,0.671
8,mse,4,0.67025
8,mse,5,0.665
8,mse,6,0.6565
8,mse,7,0.6521428571428571
8,mse,8,0.646875
8,mse,9,0.6537777777777778
8,mse,10,0.6431
8,mse,11,0.6324545454545455
8,mse,12,0.6375
8,mse,13,0.6400769230769231
8,mse,14,0.6348571428571429
8,mse,15,0.6257333333333334
8,mse,16,0.6350625
8,mse,17,0.6296470588235294
8,mse,18,0.6298333333333334
8,mse,19,0.6369473684210526
8,mse,20,0.62855
8,mse,1,0.517
8,mse,2,0.517
8,mse,3,0.517
8,mse,4,0.496
8,mse,5,0.4912
8,mse,6,0.493
8,mse,7,0.4972857142857143
8,mse,8,0.509
8,mse,9,0.5042222222222222
8,mse,10,0.4963
8,mse,11,0.494
8,mse,12,0.5098333333333334
8,mse,13,0.5005384615384615
8,mse,14,0.49885714285714283
8,mse,15,0.49853333333333333
8,mse,16,0.5013125
8,mse,17,0.49876470588235294
8,mse,18,0.49805555555555553
8,mse,19,0.49236842105263157
8,mse,20,0.5
16,mse,1,0.497
16,mse,2,0.562
16,mse,3,0.567
16,mse,4,0.5805
16,mse,5,0.592
16,mse,6,0.5811666666666667
16,mse,7,0.5794285714285714
16,mse,8,0.588
16,mse,9,0.5922222222222222
16,mse,10,0.5804
16,mse,11,0.5824545454545454
16,mse,12,0.58125
16,mse,13,0.5807692307692308
16,mse,14,0.5720714285714286
16,mse,15,0.5928
16,mse,16,0.5870625
16,mse,17,0.5808235294117647
16,mse,18,0.5815555555555556
16,mse,19,0.5791578947368421
16,mse,20,0.5788
16,mse,1,1.0
16,mse,2,0.807
16,mse,3,0.7626666666666667
16,mse,4,0.7365
16,mse,5,0.7188
16,mse,6,0.703
16,mse,7,0.7062857142857143
16,mse,8,0.692875
16,mse,9,0.6975555555555556
16,mse,10,0.6895
16,mse,11,0.6948181818181818
16,mse,12,0.6981666666666667
16,mse,13,0.692923076923077
16,mse,14,0.6843571428571429
16,mse,15,0.6824
16,mse,16,0.6789375
16,mse,17,0.6867647058823529
16,mse,18,0.6857222222222222
16,mse,19,0.6818421052631579
16,mse,20,0.68345
16,mse,1,0.534
16,mse,2,0.528
16,mse,3,0.5526666666666666
16,mse,4,0.569
16,mse,5,0.5742
16,mse,6,0.576
16,mse,7,0.576
16,mse,8,0.572
16,mse,9,0.5818888888888889
16,mse,10,0.5688
16,mse,11,0.5661818181818182
16,mse,12,0.5599166666666666
16,mse,13,0.5692307692307692
16,mse,14,0.561
16,mse,15,0.5602666666666667
16,mse,16,0.5500625
16,mse,17,0.5549411764705883
16,mse,18,0.5548333333333333
16,mse,19,0.5533684210526316
16,mse,20,0.5593
32,mse,1,1.0
32,mse,2,0.7315
32,mse,3,0.7786666666666666
32,mse,4,0.7585
32,mse,5,0.759
32,mse,6,0.7431666666666666
32,mse,7,0.7404285714285714
32,mse,8,0.720875
32,mse,9,0.7173333333333334
32,mse,10,0.7165
32,mse,11,0.7160909090909091
32,mse,12,0.7160833333333333
32,mse,13,0.7026923076923077
32,mse,14,0.7134285714285714
32,mse,15,0.7103333333333334
32,mse,16,0.7055625
32,mse,17,0.7027058823529412
32,mse,18,0.6999444444444445
32,mse,19,0.7000526315789474
32,mse,20,0.70995
32,mse,1,1.0
32,mse,2,0.8055
32,mse,3,0.806
32,mse,4,0.78275
32,mse,5,0.7302
32,mse,6,0.739
32,mse,7,0.7365714285714285
32,mse,8,0.72775
32,mse,9,0.7266666666666667
32,mse,10,0.7182
32,mse,11,0.7266363636363636
32,mse,12,0.7186666666666667
32,mse,13,0.7047692307692308
32,mse,14,0.7106428571428571
32,mse,15,0.7078666666666666
32,mse,16,0.7076875
32,mse,17,0.7016470588235294
32,mse,18,0.7085555555555556
32,mse,19,0.7077368421052631
32,mse,20,0.70115
32,mse,1,0.483
32,mse,2,0.5265
32,mse,3,0.556
32,mse,4,0.5885
32,mse,5,0.591
32,mse,6,0.596
32,mse,7,0.5941428571428572
32,mse,8,0.587625
32,mse,9,0.5881111111111111
32,mse,10,0.5968
32,mse,11,0.5877272727272728
32,mse,12,0.60075
32,mse,13,0.5883846153846154
32,mse,14,0.5950714285714286
32,mse,15,0.5937333333333333
32,mse,16,0.5910625
32,mse,17,0.6011176470588235
32,mse,18,0.5926111111111111
32,mse,19,0.5940526315789474
32,mse,20,0.5928
